Y,X,Z,
1454773.143,659284.494,296,
1454773.133,659284.475,296,
1454773.126,659284.458,296,
1454772.249,659282.475,296,
1454771.655,659280.987,296,
1454771.473,659280.475,296,
1454771.143,659279.717,296,
1454770.573,659278.475,296,
1454770.235,659277.567,296,
1454769.826,659276.475,296,
1454769.143,659274.916,296,
1454768.952,659274.475,296,
1454768.853,659274.185,296,
1454768.231,659272.475,296,
1454767.636,659270.968,296,
1454767.511,659270.475,296,
1454767.143,659269.432,296,
1454766.837,659268.475,296,
1454766.654,659267.986,296,
1454766.167,659266.475,296,
1454765.42,659264.752,296,
1454765.313,659264.475,296,
1454765.143,659264.137,296,
1454764.414,659262.475,296,
1454763.935,659261.267,296,
1454763.648,659260.475,296,
1454763.143,659259.166,296,
1454762.878,659258.475,296,
1454762.728,659258.06,296,
1454762.089,659256.475,296,
1454761.421,659254.753,296,
1454761.33,659254.475,296,
1454761.143,659254.089,296,
1454760.593,659252.475,296,
1454760.225,659251.557,296,
1454759.886,659250.475,296,
1454759.236,659248.568,296,
1454759.216,659248.475,296,
1454759.143,659248.297,296,
1454758.452,659246.475,296,
1454758.196,659245.528,296,
1454758,659244.475,296,
1454757.437,659242.769,296,
1454757.381,659242.475,296,
1454757.143,659241.664,296,
1454756.845,659240.475,296,
1454756.759,659240.091,296,
1454756.392,659238.475,296,
1454755.981,659237.313,296,
1454755.879,659236.475,296,
1454755.354,659234.686,296,
1454755.335,659234.475,296,
1454755.321,659232.653,296,
1454755.295,659232.475,296,
1454755.143,659231.627,296,
1454754.957,659230.475,296,
1454754.853,659230.185,296,
1454754.154,659228.475,296,
1454753.868,659227.75,296,
1454753.428,659226.475,296,
1454753.143,659225.041,296,
1454752.99,659224.475,296,
1454752.863,659224.195,296,
1454752.183,659222.475,296,
1454751.143,659221.232,296,
1454750.903,659220.475,296,
1454750.839,659220.171,296,
1454750.5,659218.475,296,
1454750.329,659217.661,296,
1454750.205,659216.475,296,
1454749.881,659215.213,296,
1454749.718,659214.475,296,
1454749.191,659212.523,296,
1454749.188,659212.475,296,
1454749.143,659212.316,296,
1454748.77,659210.475,296,
1454748.695,659210.027,296,
1454748.524,659208.475,296,
1454748.26,659207.592,296,
1454748.239,659206.475,296,
1454747.819,659205.151,296,
1454747.629,659204.475,296,
1454747.431,659202.763,296,
1454747.406,659202.475,296,
1454747.143,659201.272,296,
1454747.045,659200.573,296,
1454747.02,659200.475,296,
1454746.519,659199.099,296,
1454746.2,659198.475,296,
1454746.014,659197.604,296,
1454745.729,659196.475,296,
1454745.745,659195.873,296,
1454745.143,659195.123,296,
1454744.93,659194.475,296,
1454744.892,659194.224,296,
1454744.495,659192.475,296,
1454744.365,659191.697,296,
1454744.183,659190.475,296,
1454743.954,659189.286,296,
1454743.86,659188.475,296,
1454743.42,659186.752,296,
1454743.384,659186.475,296,
1454743.143,659185.611,296,
1454742.88,659184.475,296,
1454742.805,659184.137,296,
1454742.359,659182.475,296,
1454742.09,659181.422,296,
1454741.912,659180.475,296,
1454741.637,659178.969,296,
1454741.613,659178.475,296,
1454741.143,659176.867,296,
1454741.052,659176.475,296,
1454741.041,659176.373,296,
1454740.734,659174.475,296,
1454740.657,659173.989,296,
1454740.594,659172.475,296,
1454740.523,659171.855,296,
1454740.304,659170.475,296,
1454740.059,659169.391,296,
1454739.859,659168.475,296,
1454739.193,659166.525,296,
1454709.878,659181.348,296,
1454680.562,659196.172,296,
1454713.577,659262.548,296,
1454730.692,659295.427,296,
1454733.101,659302.105,296,
1454773.699,659285.488,296,
1454773.143,659284.494,296,
